PGA208
Pin, Name, Side
B2, B2, left
D3, D3, left
B1, B1, left
E4, E4, left
C2, C2, left
E3, E3, left
C1, C1, left
F4, F4, left
D2, D2, left
F3, F3, left
D1, D1, left
G4, G4, left
E2, E2, left
G3, G3, left
E1, E1, left
H3, H3, left
F2, F2, left
H4, H4, left
F1, F1, left
H2, H2, left
G2, G2, left
J2, J2, left
G1, G1, left
J3, J3, left
H1, H1, left
J4, J4, left
J1, J1, left
K2, K2, left
K1, K1, left
K3, K3, left
L1, L1, left
K4, K4, left
M1, M1, left
L2, L2, left
N1, N1, left
L3, L3, left
M2, M2, left
L4, L4, left
P1, P1, left
M3, M3, left
N2, N2, left
M4, M4, left
R1, R1, left
N3, N3, left
P2, P2, left
N4, N4, left
T1, T1, left
P3, P3, left
R2, R2, left
P4, P4, left
U1, U1, left
R3, R3, left
T2, T2, top
R4, R4, top
U2, U2, top
P5, P5, top
T3, T3, top
R5, R5, top
U3, U3, top
P6, P6, top
T4, T4, top
R6, R6, top
U4, U4, top
P7, P7, top
T5, T5, top
R7, R7, top
U5, U5, top
R8, R8, top
T6, T6, top
P8, P8, top
U6, U6, top
T8, T8, top
T7, T7, top
T9, T9, top
U7, U7, top
R9, R9, top
U8, U8, top
P9, P9, top
U9, U9, top
T10, T10, top
U10, U10, top
R10, R10, top
U11, U11, top
P10, P10, top
U12, U12, top
T11, T11, top
U13, U13, top
R11, R11, top
T12, T12, top
P11, P11, top
U14, U14, top
R12, R12, top
T13, T13, top
P12, P12, top
U15, U15, top
R13, R13, top
T14, T14, top
P13, P13, top
U16, U16, top
R14, R14, top
T15, T15, top
P14, P14, top
U17, U17, top
R15, R15, top
T16, T16, right
P15, P15, right
T17, T17, right
N14, N14, right
R16, R16, right
N15, N15, right
R17, R17, right
M14, M14, right
P16, P16, right
M15, M15, right
P17, P17, right
L14, L14, right
N16, N16, right
L15, L15, right
N17, N17, right
K15, K15, right
M16, M16, right
K14, K14, right
M17, M17, right
K16, K16, right
L16, L16, right
J16, J16, right
L17, L17, right
J15, J15, right
K17, K17, right
J14, J14, right
J17, J17, right
H16, H16, right
H17, H17, right
H15, H15, right
G17, G17, right
H14, H14, right
F17, F17, right
G16, G16, right
E17, E17, right
G15, G15, right
F16, F16, right
G14, G14, right
D17, D17, right
F15, F15, right
E16, E16, right
F14, F14, right
C17, C17, right
E15, E15, right
D16, D16, right
E14, E14, right
B17, B17, right
D15, D15, right
C16, C16, right
D14, D14, right
A17, A17, right
C15, C15, right
B16, B16, bottom
C14, C14, bottom
A16, A16, bottom
D13, D13, bottom
B15, B15, bottom
C13, C13, bottom
A15, A15, bottom
D12, D12, bottom
B14, B14, bottom
C12, C12, bottom
A14, A14, bottom
D11, D11, bottom
B13, B13, bottom
C11, C11, bottom
A13, A13, bottom
C10, C10, bottom
B12, B12, bottom
D10, D10, bottom
A12, A12, bottom
B10, B10, bottom
B11, B11, bottom
B9, B9, bottom
A11, A11, bottom
C9, C9, bottom
A10, A10, bottom
D9, D9, bottom
A9, A9, bottom
B8, B8, bottom
A8, A8, bottom
C8, C8, bottom
A7, A7, bottom
D8, D8, bottom
A6, A6, bottom
B7, B7, bottom
A5, A5, bottom
C7, C7, bottom
B6, B6, bottom
D7, D7, bottom
A4, A4, bottom
C6, C6, bottom
B5, B5, bottom
D6, D6, bottom
A3, A3, bottom
C5, C5, bottom
B4, B4, bottom
D5, D5, bottom
A2, A2, bottom
C4, C4, bottom
B3, B3, bottom
D4, D4, bottom
A1, A1, bottom
C3, C3, bottom
