samtec_qsh_qth
Name,Pin,Side
1,1,left
2,2,left
3,3,left
4,4,left
5,5,left
6,6,left
7,7,left
8,8,left
9,9,left
10,10,left
11,11,left
12,12,left
13,13,left
14,14,left
15,15,left
16,16,left
17,17,left
18,18,left
19,19,left
20,20,left
21,21,left
22,22,left
23,23,left
24,24,left
25,25,left
26,26,left
27,27,left
28,28,left
29,29,left
30,30,left
31,31,left
32,32,left
33,33,left
34,34,left
35,35,left
36,36,left
37,37,left
38,38,left
39,39,left
40,40,left
41,41,left
42,42,left
43,43,left
44,44,left
45,45,left
46,46,left
47,47,left
48,48,left
49,49,left
50,50,left
51,51,left
52,52,left
53,53,left
54,54,left
55,55,left
56,56,left
57,57,left
58,58,left
59,59,left
60,60,left
61,61,left
62,62,left
63,63,left
64,64,left
