samtec_qsh_qth_030
Name,Pin,Side
1,1,left
2,2,left
3,3,left
4,4,left
5,5,left
6,6,left
7,7,left
8,8,left
9,9,left
10,10,left
11,11,left
12,12,left
13,13,left
14,14,left
15,15,left
16,16,left
17,17,left
18,18,left
19,19,left
20,20,left
21,21,left
22,22,left
23,23,left
24,24,left
25,25,left
26,26,left
27,27,left
28,28,left
29,29,left
30,30,left
31,31,right
32,32,right
33,33,right
34,34,right
35,35,right
36,36,right
37,37,right
38,38,right
39,39,right
40,40,right
41,41,right
42,42,right
43,43,right
44,44,right
45,45,right
46,46,right
47,47,right
48,48,right
49,49,right
50,50,right
51,51,right
52,52,right
53,53,right
54,54,right
55,55,right
56,56,right
57,57,right
58,58,right
59,59,right
60,60,right
GND,61,bottom
